sourceImage,cardNumber,name,cost,type,rarity,color,rulesText,rawTitleOCR,rawTypeOCR
AOF 1.png,AOF-001,Soaring Elemental,1,Follower,Common,Red,Flying (Evades non-flying Guardians. Can attack non-flying Tacticians directly),eg ) Searing tenant,oy Elemental Followen—
AOF 10.png,AOF-010,Strain,3,Enchantment,Common,Red,"At the start of your turn, this deals 2 damage to your hero and you draw a card",— 4 er,MW Enchantment
AOF 100.png,AOF-100,Dark Grip,5,Spell,Epic,Black,Destroy all followers.,,ispell
AOF 101.png,AOF-101,Inviting Soul,5,Follower,Rare,Black,Deploy — You may destroy target follower.,$e,+
AOF 102.png,AOF-102,Darkness Cloak,3,Artifact,Rare,Black,Friendly followers have +1 attack during your team's turns. Friendly followers have +1 @ during opposing team turns,ge ay Tr],| Arti ArmonmBac ct a
AOF 103.png,AOF-103,Black Market,3,Artifact,Epic,Black,"Once per turn — Whenever a follower you control is destroyed, draw a card.",Black is Barksct Ue,} =>. item UniqueyArtifact
AOF 104.png,AOF-104,Soul's Eruption,1,Spell,Epic,Black,"Deal X damage to target character, where X equals the amount of followers that were destroyed this turn.",,Me
AOF 105.png,AOF-105,Struggle,2,Enchantment,Epic,Black,"Deploy — Draw a card. Once per turn — Whenever you draw a card, all opponents mill 2 cards.","le Strugg, A \\(",
AOF 106.png,AOF-106,Cursed Beast,3,Follower,Epic,Black,"Once per turn — Whenever an opponent draws a card, summon a @ 2} /2.@ Undead follower token 72)",Cunpecipeest s,+
AOF 107.png,AOF-107,Shadow Assassin,4,Follower,Legendary,Black,"Level Up 3, Tactician, Swift Once per rm — Activate: Choose one * Level 1+ — Up to two target followers gain stealth until end of turn. + Level 2+ — Target weapon or armor has +2 strength until the start of your next turn. * Level 3+ — Destroy target follower that costs 4@ or less. 3%",Shachbw /A\ssassiin,"Follower Adventurer, Uniq —)Human ue) —— Level Swift 3, Tactician,"
AOF 108.png,AOF-108,The Shadow,5,Follower,Legendary,Black,"Tactician Followers have swift. Whenever a follower attacks, their controller mills 2 cards",a =,77 S&S: Lari UniquelFollower— Varlari
AOF 109.png,AOF-109,Advisor of the Tribes,3,Follower,Common,Colorless,"This has +2 attack/+1 health for each Lari tribe you control. (Nalari, Varlari, Thulari) Last Words — Explore for a Lari.",Achiisor of dhe THibas®,ea
AOF 11.png,AOF-011,Flame Burst,3,Spell,Uncommon,Red,Deal 3 damage to all followers.,Elame ee,e ——— —— gegrn ~ Spell
AOF 110.png,AOF-110,Supplies,3,Spell,Common,Colorless,"Heal 2 @ to target character, then choose two, where X is the damage healed — + Deal X damage to target character. + Put X strength counters on target follower. * Summon X @ 1 }{/1 @ Beast follower tokens",,Spell . <
AOF 111.png,AOF-111,Frenzy,2,Spell,Common,Colorless,"Draw 2 cards, then discard 2 cards.","Frenzy, %",.@ — es s
AOF 112.png,AOF-112,Guild Training,2,Enchantment,Common,Colorless,Friendly followers have +1 attack during team turns.,ANNE y- ZG,il
AOF 113.png,AOF-113,Numbing Sphere,5,Artifact,Uncommon,Colorless,Deploy — Draw a card. Opposing cards cost 1@ more to play,NumbingsSphere,Vartita at yy cti—ltem) aa
AOF 114.png,AOF-114,Raging Phoenix,3,Follower,Uncommon,Colorless,"Flying, Swift Whenever an elemental enters your field, if this is in your discard pile and you have 3@ 3@, you may pay 1@. If you do, return it to the field. 1%",agin giRhoenix Wy,Followen= Elemental
AOF 115.png,AOF-115,Darkflame Blast,3,Spell,Uncommon,Colorless,Deal 3 damage to target character. Draw a card.,"last ""/ ie",gp me
AOF 116.png,AOF-116,Defender's Hammer,3,Artifact,Uncommon,Colorless,"This has +2 while you control a guardian, Whenever your hero attacks, this deals X damage to target character, where X equals the attack of this weapon. Exhaust: Target follower gains guardian and loses tactician until the start of your next turn. ""Hey you! Hold this!""",Dettancler ssHam mer U.,"Artifact Weapon has while guardian, This control"
